title,skills,years of experience,technologies required,company,application link
Level 1 Customer Support Supervisor,"[""Team Leadership"",""Customer Support Supervision"",""Coaching"",""Mentoring"",""Customer Escalation Handling"",""Productivity Management"",""Training & Education (Level 1 agents)"",""Contact Channel Management (Phone, Email, Chat)"",""Scheduling"",""Time Reporting"",""Ticket Audits"",""Quality Assurance (QA)"",""Cross-functional Collaboration"",""Strategic Thinking"",""Process Improvement"",""Customer Satisfaction"",""Hiring"",""Team Development"",""Bilingual (English/Spanish)"",""Behavioral-Based Coaching Model"",""SMART Goal Setting"",""Performance Management"",""Problem-solving"",""Troubleshooting"",""Judgment"",""Customer-facing skills"",""Partner Relationship Management"",""COPC Certification"",""CCSP Certification"",""Leading Global Teams""]",1-3 years,[],Samsara,
Junior Analyst - Private Equity Placement,"[""analytical skills"",""numerical skills"",""attention to detail"",""results-driven"",""perform under pressure"",""written communication"",""verbal communication"",""English fluency""]",1.5 years,"[""PowerPoint"",""Excel""]",Athos Partners,
Administrative Assistant,"[""Travel arrangement"",""Organizing international group travel"",""High standards"",""Communication"",""Initiative"",""Prioritization"",""Meeting deadlines"",""Interpersonal skills"",""Customer service"",""Multitasking"",""Expense report processing"",""Calendar management"",""Scheduling"",""Vendor interaction""]",not specified,"[""Microsoft Office suite""]","Niagara Partners, Inc",
Recruiter (G&A),"[""Full-cycle recruiting"",""Strategic hiring"",""Talent insights"",""Market trend analysis"",""Candidate experience management"",""Talent pipeline building"",""Sourcing"",""Recruiting data analysis"",""Process efficiency"",""Stakeholder management"",""Communication"",""Inclusive hiring"",""Diversity and equity advocacy"",""Cross-functional collaboration"",""Adaptability"",""Flexibility"",""Technical concepts understanding"",""Influence"",""Precision"",""Empathy""]",4+,"[""Greenhouse""]",Playlist,
Learning and Development Specialist,"[""Learning Design"",""Content Development"",""Facilitation"",""Program Management"",""Project Management"",""Session Facilitation"",""Curriculum Design"",""Organizational Effectiveness"",""Collaboration"",""Communication (Verbal and Written)"",""Planning"",""Scheduling"",""Event Logistics"",""Resource Management"",""Data Analysis (Learning Feedback)"",""Problem-Solving"",""Training Program Management"",""Instructional Design"",""Training Effectiveness Measurement"",""Organizational Skills"",""Attention to Detail"",""Stakeholder Management""]",8+,[],NVIDIA,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Learning-and-Development-Specialist_JR2002688?source=jobboardlinkedin
Marketing Coordinator,"[""Administrative support"",""Operational support"",""Creative support"",""Organizational skills"",""Communication"",""Problem-solving"",""Calendar management"",""Travel coordination"",""Expense reporting"",""Presentation preparation"",""Discretion"",""Professionalism"",""Liaison skills"",""Campaign tracking"",""Deliverables tracking"",""Project management"",""Attention to detail"",""Budget tracking"",""Invoice processing"",""Vendor setup"",""Global mindset"",""Cultural sensitivity"",""Diplomacy"",""People skills"",""Marketing coordination"",""Asset management"",""Performance reporting"",""Promotional material distribution""]",1+,"[""Airtable"",""Smartsheet"",""SharePoint"",""Microsoft Office Suite"",""Google Workspace"",""DSPs"",""Metadata systems"",""Marketing analytics tools""]",Solomon Page,
Product Development Assistant,"[""proactive"",""detail-oriented"",""highly organized"",""deadline-driven"",""sample management"",""vendor communication"",""coordination"",""calendar management"",""timeline management"",""data entry"",""systems management"",""cross-functional support"",""quality control"",""auditing"",""product lifecycle understanding"",""basic garment construction"",""multitasking"",""written communication"",""verbal communication"",""positive attitude"",""collaborative work style"",""fashion merchandising"",""product development"",""production"",""import experience""]",1-2 years,"[""PLM systems"",""Excel"",""Illustrator"",""Google Suite""]",PISTOLA Denim,
,,,,Rhymetec,
Executive Assistant / People Operations Specialist,"[""Executive support"",""Calendar management"",""Travel arrangement"",""Inbox management"",""Meeting coordination"",""Operational support"",""People operations"",""HR process management"",""Recruitment process management"",""Interview scheduling"",""Onboarding"",""Employee relations"",""Benefits coordination"",""Policy documentation"",""Global team coordination"",""Confidential information handling"",""Discretion"",""Sound judgement"",""Organizational skills"",""Proactiveness"",""Attention to detail"",""Adaptability to fast-paced environments"",""Entrepreneurial mindset""]",5+ years,[],Alderson James,
Manager,"[""Strategic Foresight"",""Strategic Planning"",""Analytical Skills"",""Data Analysis"",""Client Leadership"",""Project Management"",""Facilitation"",""Communication"",""Presentation Skills"",""Executive Storytelling"",""Team Leadership"",""Mentoring"",""Knowledge Management"",""Creativity"",""Risk Assessment"",""Competitive Analysis"",""Decision-making"",""Quality Assurance"",""Organizational Skills"",""Multi-tasking"",""Attention to Detail"",""Collaboration"",""Problem-solving""]",2-4 years,"[""Microsoft Excel""]",Future Today Strategy Group,
"VICE PRESIDENT, FACILITIES","[""Strategic Leadership"",""Operational Management"",""Innovation"",""Process Improvement"",""Cost Optimization"",""Sustainability Management"",""Team Leadership"",""Collaboration"",""Partnership Building"",""Policy Establishment"",""Metrics Definition"",""Data Analytics"",""Vendor Management"",""Contract Negotiation"",""Project Management"",""Budget Management"",""Financial Analysis"",""Financial Reporting"",""Compliance Management"",""Asset Lifecycle Management"",""Preventive Maintenance"",""Emergency Response"",""Business Continuity Planning"",""HVAC Systems Knowledge"",""Electrical Systems Knowledge"",""Plumbing Systems Knowledge"",""Kitchen Equipment Knowledge"",""Building Envelope Knowledge"",""Work Order Management"",""Communication"",""Change Management"",""Strategic Sourcing"",""Mentoring"",""Team Development"",""Culture Building (safety, accountability, continuous improvement)"",""Regulatory Compliance"",""Managing large-scale facility portfolios"",""Managing complex budgets"",""Developing long-term strategies"",""Delivering operational excellence"",""Prioritization""]",12+,"[""CMMS (Computerized Maintenance Management System)"",""IoT (Internet of Things)"",""Data Analytics"",""Remote Monitoring"",""Predictive Maintenance Technologies"",""Mobile-first work order systems"",""Facility Technology Platforms""]",Chipotle Mexican Grill,
"Paid Media Data Analyst, Biddable","[""data analysis"",""reporting"",""data science"",""business intelligence"",""business analysis"",""financial analysis"",""marketing analytics"",""biddable advertising analysis"",""data-driven decision making"",""insights generation"",""solution development"",""data interpretation"",""media optimization"",""analytical thinking"",""comfort with ambiguity"",""collaboration"",""curiosity"",""bias for action"",""balancing business context with technical expertise"",""communication"",""problem-solving"",""statistical model interpretation"",""machine learning model interpretation"",""data visualization"",""BI systems understanding"",""mobile app marketing"",""social media marketing"",""influencer partnership"",""measurement framework development"",""model evaluation"",""coaching"",""mentoring"",""stakeholder engagement"",""orchestration"",""driving adoption"",""consulting"",""data synthesis"",""dashboard creation"",""report creation"",""visualization creation"",""efficiency improvement""]",2+,[],Microsoft,https://careers.microsoft.com/us/en/job/1901249/Paid-Media-Data-Analyst-Biddable?jobsource=linkedin&utm_source=Job+Board&utm_campaign=linkedin-feed&mode=apply&iis=LinkedIn
Executive Coach,"[""Coaching"",""Mentoring"",""Leadership"",""Communication"",""Influencing"",""Collaboration"",""Decision-making"",""Business Acumen"",""Business strategies"",""Market dynamics"",""Team building"",""New business development""]",5+,[],Impel-Consultants,
Assistant Superintendent,"[""leadership"",""project management"",""quality control"",""cost management"",""safety management"",""teamwork"",""collaboration"",""attention to detail"",""analysis"",""planning"",""scheduling"",""logistics"",""safety planning"",""communication"",""supply chain management"",""process management"",""subcontractor management"",""labor management"",""quality monitoring"",""reporting"",""documentation"",""quality assurance"",""safety auditing"",""budget management"",""accountability"",""project execution"",""site management"",""proactive"",""sense of urgency"",""relationship management"",""negotiation"",""stakeholder management"",""organization"",""coordination"",""multi-tasking"",""focus"",""adaptability""]",2-5 years,"[""Microsoft Word"",""Microsoft Excel"",""Microsoft Office"",""Procore""]",Fortune-Johnson LLC,
,"[""Client experience"",""Multi-tasking"",""Pipeline management"",""Organization"",""Attention to detail"",""Focus"",""Resilience"",""Adaptability"",""Teamwork"",""Drive"",""Grit"",""Quality assurance"",""Efficiency"",""Data accuracy"",""Research"",""Data entry"",""Documentation management"",""Financial document review"",""Compliance"",""Guideline adherence"",""Validation"",""Editing"",""Contract generation"",""Logistics"",""Coordination"",""Collaboration"",""Assistance"",""Support"",""Financial industry knowledge"",""Written communication"",""Verbal communication"",""Working under pressure"",""Calmness"",""Confidence"",""Positive attitude"",""Integrity"",""Confidentiality"",""Discretion"",""Professionalism"",""Time management""]",not specified,[],BHG Financial,
HR & Talent Partner,"[""Proactive"",""People-focused"",""Talent Acquisition"",""HR operations"",""Recruiting"",""Full-cycle recruiting"",""Partnering with hiring managers"",""Defining needs"",""Shaping recruitment strategies"",""Candidate sourcing"",""Candidate engagement"",""Candidate communications"",""Data management"",""Reporting"",""HR Generalist"",""People Partnering"",""Employee support"",""Manager support"",""Onboarding"",""Offboarding"",""Employee lifecycle management"",""Employee engagement"",""Culture programs"",""People programs"",""HR project management"",""Benefits coordination"",""Payroll coordination"",""Compliance"",""US employment laws"",""Employee event planning"",""Employee recognition"",""Wellbeing initiatives"",""US talent market understanding"",""Compensation trends analysis"",""HR processes"",""Recruiting in high-growth startups"",""Recruiting in dynamic tech environments"",""Cybersecurity knowledge"",""Hands-on"",""Detail-oriented"",""Eagerness to learn and grow"",""Strong communication"",""Relationship building"",""Cross-functional collaboration""]",4+,"[""LinkedIn"",""ATS systems"",""Comeet"",""Lever"",""Greenhouse""]",Astrix Security,https://astrix.security/careers/talent-acquisition-hr-generalist/28.D55-45.408/?coref=1.11.p7B_4813
Lead QA Analyst,"[""quality assurance"",""leadership"",""mentoring"",""automation testing"",""planning and execution of testing strategies"",""test coverage definition and validation"",""defect management"",""functional testing"",""regression testing"",""integration testing"",""analytical skills"",""troubleshooting"",""quality improvement"",""communication"",""collaboration""]",6-8 years,"[""Mabl"",""Selenium"",""low-code/no-code automation tools""]",Valore Partners,
Chief Executive Officer,"[""leadership"",""revenue growth"",""profitability management"",""P&L accountability"",""team building"",""operations management"",""new site development"",""market expansion"",""customer partnership building""]",not specified,[],COREcruitment Ltd,
,,,,"Abacus Group, LLC",
Territory Sales Manager,"[""Consumer goods sales"",""Beverage sales"",""Distributor sales"",""CPG sales execution"",""Customer engagement"",""Business acumen"",""Entrepreneurial mindset"",""Face-to-face customer interaction"",""Verbal communication"",""Written communication"",""Presentation skills"",""Sales performance driving"",""Distributor partnership cultivation"",""Brand presence amplification"",""SKU distribution"",""Shelf space management"",""Display execution"",""Promotional activity"",""Account auditing"",""Opportunity tracking"",""Delivering insights"",""Collaboration"",""KPI achievement"",""Reporting"",""Results-driven""]",1+,"[""CRM tools"",""Field sales reporting systems""]",CELSIUS,
Performance Marketer,"[""Performance Marketing"",""Forecasting"",""Analytics"",""Reporting"",""Communication"",""Data Analysis"",""Trend Identification"",""Insight Generation"",""Budget Management"",""Investment Planning"",""ROI Maximization"",""Competitive Analysis"",""Market Analysis"",""Risk Identification"",""Opportunity Identification"",""Data-driven Solutions"",""Cross-functional Collaboration"",""Meeting Facilitation"",""Organizational Skills"",""Problem Solving"",""Accountability"",""Deliverable Tracking""]",not specified,"[""Excel""]",Swell Partners,
Customer Support Analyst I,"[""Teamwork"",""Collaboration"",""Computer Systems Understanding"",""Networking Understanding"",""Customer Service"",""Prioritization"",""Judgment"",""User Experience Focus"",""Knowledge Base Management"",""Triage"",""Documentation"",""Technical Writing"",""Bug Replication"",""Issue Description"",""Customer Interaction"",""Record Keeping"",""Ticketing System Usage"",""Communication"",""Efficiency"",""Dependability"",""Escalation Management"",""Cross-functional Collaboration"",""Multitasking"",""Adaptability"",""Proactiveness"",""Self-Direction"",""Software Testing"",""Video Production"",""Video Editing"",""Technical Support"",""Customer Experience Focus""]",0-2 years,[],Panopto,
Merchandising Representative,"[""Sales"",""Marketing"",""Creativity"",""Relationship building"",""Customer service"",""Interpersonal skills"",""Communication"",""Problem-solving"",""Multi-tasking"",""Merchandising"",""Flexibility"",""Motivation"",""Enthusiasm"",""Positive attitude"",""Self-starter"",""Teamwork"",""Organizational skills"",""Reporting"",""Driving""]",0-2 years,"[""Celsius sales app""]",CELSIUS,
Cybersecurity Analyst - Tier 2,"[""Cybersecurity analysis"",""Incident response"",""Real-time monitoring"",""Security alert triage"",""Root cause analysis"",""Remediation"",""Documentation"",""Collaboration"",""Technical communication"",""Problem-solving"",""Analytical skills"",""Proactive mindset"",""Mentoring"",""Training"",""Learning agility"",""Independent work"",""Teamwork"",""Threat intelligence"",""Cybersecurity principles"",""Incident response methodologies"",""Verbal communication"",""Written communication""]",3+,"[""SIEM"",""EDR"",""IDS/IPS"",""Network monitoring tools"",""ServiceNow"",""SOAR""]",Maveris,
,"[""Execution"",""Product management"",""Partnership management"",""Operations management"",""Fundraising"",""Regulatory compliance"",""Strategic planning"",""Operational strategy"",""Structured thinking"",""Judgment"",""Decision-making"",""Investor mindset"",""Entrepreneurial mindset"",""Leadership"",""Operational excellence"",""System building"",""Financial management"",""Compliance management"",""Licensing"",""Program management"",""Project management"",""Cross-functional collaboration"",""Underwriting"",""Investor relations"",""Financial modeling"",""Metrics tracking"",""Due diligence"",""Partner relations"",""HR infrastructure"",""Recruiting"",""Onboarding"",""Process improvement"",""Strategic execution"",""Data analysis"",""Performance metrics"",""Dashboard design"",""Precision"",""B2B operations"",""Insurance domain knowledge"",""Fintech domain knowledge"",""Regulated markets understanding"",""Written communication"",""Verbal communication"",""Technical curiosity""]",5-10 years,"[""Rippling"",""Deel"",""AI""]","Mayflower Specialty, LTD.",
Director of Operations,"[""Operational leadership"",""Efficiency"",""Compliance management"",""Service management"",""Student success initiatives"",""Student retention strategies"",""Student persistence improvement"",""Campus administration"",""Records management"",""Student services management"",""Student conduct management"",""Professionalism"",""Accountability"",""Belonging culture fostering"",""Operational integrity"",""Academic excellence"",""Continuous improvement"",""Collaboration"",""Interpersonal skills"",""Communication skills"",""Process improvement"",""Supportive environment fostering"",""Inclusive environment fostering"",""Visionary thinking"",""Innovation"",""Supervision"",""Strategic planning"",""Audit readiness"",""Regulatory compliance"",""Partnership building"",""Community engagement"",""Documentation development"",""Workflow optimization""]",5+,[],ATS Institute of Technology,
Senior Product Manager,"[""Product Management"",""Strategic Analysis"",""Leadership"",""Cross-functional Collaboration"",""Communication"",""Data Analysis"",""Statistical Hypothesis Testing"",""Data Retrieval"",""Reporting"",""Trust Management"",""Compliance"",""Commercial Enforcement"",""Abuse Prevention"",""Fraud Prevention"",""Platform Integrity"",""Customer Engagement"",""Sales Engagement"",""Enterprise Product Development"",""Privacy Trends Understanding"",""Technical Understanding"",""Emerging Technologies Understanding"",""Metric Definition and Tracking"",""Incident Management""]",5+,[],LinkedIn,
Junior Brand Strategist,"[""Creative thinking"",""Resourcefulness"",""Enthusiasm"",""Data-driven thinking"",""Communication"",""Storytelling"",""Presentation skills"",""Organization"",""Multitasking"",""Attention to detail"",""Collaboration"",""Relationship building"",""Proactivity"",""Problem-solving"",""Strategic thinking"",""Brainstorm facilitation"",""Information gathering"",""Sales material creation"",""Sales material organization"",""Sales material dissemination"",""Liaison skills"",""Brand knowledge (theSkimm)"",""Understanding of branded content"",""Design-minded"",""Audience data leveraging""]",2-3 years,"[""Pitch"",""Keynote"",""Google Slides"",""comScore""]",Everyday Health Group,https://jobs.jobvite.com/everyday-health-consumer/job/o7htyfw9?__jvst=Job+Board&__jvsd=LinkedIn
Finance Partner,"[""Analytical"",""Hands-on"",""Accounting operations management"",""Financial reporting"",""Forecasting"",""Scenario modeling"",""Leadership"",""Strategic decision-making"",""Process building"",""Problem-solving"",""Adaptability"",""Growth mindset"",""SaaS finance"",""Recurring revenue models understanding"",""Data analysis"",""Insight generation"",""Versatility"",""Financial acumen"",""GAAP accounting"",""Revenue recognition"",""Quote-to-cash process management"",""Cross-functional collaboration"",""ARR modeling"",""Systems experience""]",5+,"[""ERPs"",""HubSpot""]",Auxilius,
,"[""Data pipeline design"",""Analytics model design"",""Machine learning solution design"",""Data collection"",""Data cleaning"",""Data validation"",""Data integrity"",""Statistical analysis"",""Forecasting"",""Pattern recognition"",""Dashboard development"",""Data visualization"",""Collaboration"",""Workflow automation"",""Digital solution integration"",""Data governance"",""Metadata management"",""Access control"",""Cybersecurity policies"",""AI/ML model evaluation"",""AI/ML model deployment"",""Classification"",""Regression"",""Clustering"",""Natural Language Processing (NLP)"",""ETL processes"",""Scalable cloud data storage"",""Technical documentation"",""Data dictionaries"",""Model explainability"",""Audit"",""Compliance"",""Training"",""Knowledge transfer"",""Analytical solution design"",""IT modernization"",""Automation"",""Enterprise transformation"",""Working with large, complex datasets"",""Data-driven methods"",""Anomaly detection"",""NIST data-handling standards"",""FedRAMP compliance"",""Secure data pipelines"",""Time-series forecasting""]",5-8 years,"[""Power BI"",""Tableau"",""AWS"",""Azure"",""GCP"",""Python"",""R"",""SQL"",""Power Query"",""PySpark"",""scikit-learn"",""TensorFlow"",""Keras"",""PyTorch"",""Matplotlib"",""Plotly"",""ETL tools"",""APIs"",""REST services"",""AWS S3"",""Azure Data Lake"",""GCP BigQuery""]","RecruitTalent, LLC.",
